time;value
2023-10-22 00:00:00;0.196
2023-10-22 01:00:00;0.195
2023-10-22 02:00:00;0.177
2023-10-22 03:00:00;0.173
2023-10-22 04:00:00;0.173
2023-10-22 05:00:00;0.183
2023-10-22 06:00:00;0.262
2023-10-22 07:00:00;0.445
2023-10-22 08:00:00;0.638
2023-10-22 09:00:00;0.740
2023-10-22 10:00:00;0.821
2023-10-22 11:00:00;0.831
2023-10-22 12:00:00;0.674
2023-10-22 13:00:00;0.545
2023-10-22 14:00:00;0.484
2023-10-22 15:00:00;0.429
2023-10-22 16:00:00;0.447
2023-10-22 17:00:00;0.550
2023-10-22 18:00:00;0.644
2023-10-22 19:00:00;0.619
2023-10-22 20:00:00;0.576
2023-10-22 21:00:00;0.510
2023-10-22 22:00:00;0.376
2023-10-22 23:00:00;0.265
2023-10-23 00:00:00;0.195
2023-10-23 01:00:00;0.176
2023-10-23 02:00:00;0.172
2023-10-23 03:00:00;0.176
2023-10-23 04:00:00;0.210
2023-10-23 05:00:00;0.370
2023-10-23 06:00:00;0.517
2023-10-23 07:00:00;0.548
2023-10-23 08:00:00;0.542
2023-10-23 09:00:00;0.526
2023-10-23 10:00:00;0.531
2023-10-23 11:00:00;0.596
2023-10-23 12:00:00;0.580
2023-10-23 13:00:00;0.505
2023-10-23 14:00:00;0.452
2023-10-23 15:00:00;0.423
2023-10-23 16:00:00;0.464
2023-10-23 17:00:00;0.577
2023-10-23 18:00:00;0.685
2023-10-23 19:00:00;0.670
2023-10-23 20:00:00;0.621
2023-10-23 21:00:00;0.541
2023-10-23 22:00:00;0.399
2023-10-23 23:00:00;0.264
2023-10-24 00:00:00;0.195
2023-10-24 01:00:00;0.176
2023-10-24 02:00:00;0.171
2023-10-24 03:00:00;0.175
2023-10-24 04:00:00;0.209
2023-10-24 05:00:00;0.369
2023-10-24 06:00:00;0.515
2023-10-24 07:00:00;0.546
2023-10-24 08:00:00;0.540
2023-10-24 09:00:00;0.524
2023-10-24 10:00:00;0.529
2023-10-24 11:00:00;0.594
2023-10-24 12:00:00;0.578
2023-10-24 13:00:00;0.503
2023-10-24 14:00:00;0.450
2023-10-24 15:00:00;0.421
2023-10-24 16:00:00;0.462
2023-10-24 17:00:00;0.575
2023-10-24 18:00:00;0.683
2023-10-24 19:00:00;0.667
2023-10-24 20:00:00;0.619
2023-10-24 21:00:00;0.539
2023-10-24 22:00:00;0.398
2023-10-24 23:00:00;0.263
2023-10-25 00:00:00;0.194
2023-10-25 01:00:00;0.175
2023-10-25 02:00:00;0.171
2023-10-25 03:00:00;0.174
2023-10-25 04:00:00;0.208
2023-10-25 05:00:00;0.368
2023-10-25 06:00:00;0.513
2023-10-25 07:00:00;0.544
2023-10-25 08:00:00;0.538
2023-10-25 09:00:00;0.522
2023-10-25 10:00:00;0.527
2023-10-25 11:00:00;0.592
2023-10-25 12:00:00;0.576
2023-10-25 13:00:00;0.501
2023-10-25 14:00:00;0.449
2023-10-25 15:00:00;0.420
2023-10-25 16:00:00;0.460
2023-10-25 17:00:00;0.573
2023-10-25 18:00:00;0.680
2023-10-25 19:00:00;0.665
2023-10-25 20:00:00;0.617
2023-10-25 21:00:00;0.537
2023-10-25 22:00:00;0.396
2023-10-25 23:00:00;0.262
2023-10-26 00:00:00;0.193
2023-10-26 01:00:00;0.174
2023-10-26 02:00:00;0.170
2023-10-26 03:00:00;0.174
2023-10-26 04:00:00;0.207
2023-10-26 05:00:00;0.366
2023-10-26 06:00:00;0.511
2023-10-26 07:00:00;0.542
2023-10-26 08:00:00;0.536
2023-10-26 09:00:00;0.520
2023-10-26 10:00:00;0.525
2023-10-26 11:00:00;0.589
2023-10-26 12:00:00;0.574
2023-10-26 13:00:00;0.499
2023-10-26 14:00:00;0.447
2023-10-26 15:00:00;0.418
2023-10-26 16:00:00;0.458
2023-10-26 17:00:00;0.571
2023-10-26 18:00:00;0.677
2023-10-26 19:00:00;0.662
2023-10-26 20:00:00;0.614
2023-10-26 21:00:00;0.535
2023-10-26 22:00:00;0.395
2023-10-26 23:00:00;0.261
2023-10-27 00:00:00;0.220
2023-10-27 01:00:00;0.174
2023-10-27 02:00:00;0.169
2023-10-27 03:00:00;0.173
2023-10-27 04:00:00;0.207
2023-10-27 05:00:00;0.365
2023-10-27 06:00:00;0.509
2023-10-27 07:00:00;0.540
2023-10-27 08:00:00;0.534
2023-10-27 09:00:00;0.518
2023-10-27 10:00:00;0.523
2023-10-27 11:00:00;0.587
2023-10-27 12:00:00;0.572
2023-10-27 13:00:00;0.498
2023-10-27 14:00:00;0.445
2023-10-27 15:00:00;0.417
2023-10-27 16:00:00;0.457
2023-10-27 17:00:00;0.569
2023-10-27 18:00:00;0.675
2023-10-27 19:00:00;0.660
2023-10-27 20:00:00;0.612
2023-10-27 21:00:00;0.533
2023-10-27 22:00:00;0.394
2023-10-27 23:00:00;0.286
2023-10-28 00:00:00;0.242
2023-10-28 01:00:00;0.182
2023-10-28 02:00:00;0.171
2023-10-28 03:00:00;0.169
2023-10-28 04:00:00;0.177
2023-10-28 05:00:00;0.229
2023-10-28 06:00:00;0.365
2023-10-28 07:00:00;0.507
2023-10-28 08:00:00;0.588
2023-10-28 09:00:00;0.639
2023-10-28 10:00:00;0.672
2023-10-28 11:00:00;0.709
2023-10-28 12:00:00;0.694
2023-10-28 13:00:00;0.631
2023-10-28 14:00:00;0.581
2023-10-28 15:00:00;0.573
2023-10-28 16:00:00;0.623
2023-10-28 17:00:00;0.717
2023-10-28 18:00:00;0.775
2023-10-28 19:00:00;0.705
2023-10-28 20:00:00;0.576
2023-10-28 21:00:00;0.542
2023-10-28 22:00:00;0.456
2023-10-28 23:00:00;0.328
